"";"Name";"Abr"
"1";"Alabama";"AL"
"2";"Alaska";"AK"
"3";"American Samoa";"AS"
"4";"Arizona";"AZ"
"5";"Arkansas";"AR"
"6";"California";"CA"
"7";"Colorado";"CO"
"8";"Connecticut";"CT"
"9";"Delaware";"DE"
"10";"District Of Columbia";"DC"
"11";"Florida";"FL"
"12";"Georgia";"GA"
"13";"Guam";"GU"
"14";"Hawaii";"HI"
"15";"Idaho";"ID"
"16";"Illinois";"IL"
"17";"Indiana";"IN"
"18";"Iowa";"IA"
"19";"Kansas";"KS"
"20";"Kentucky";"KY"
"21";"Louisiana";"LA"
"22";"Maine";"ME"
"23";"Maryland";"MD"
"24";"Massachusetts";"MA"
"25";"Michigan";"MI"
"26";"Minnesota";"MN"
"27";"Mississippi";"MS"
"28";"Missouri";"MO"
"29";"Montana";"MT"
"30";"Nebraska";"NE"
"31";"Nevada";"NV"
"32";"New Hampshire";"NH"
"33";"New Jersey";"NJ"
"34";"New Mexico";"NM"
"35";"New York";"NY"
"36";"North Carolina";"NC"
"37";"North Dakota";"ND"
"38";"Northern Mariana Is";"MP"
"39";"Ohio";"OH"
"40";"Oklahoma";"OK"
"41";"Oregon";"OR"
"42";"Pennsylvania";"PA"
"43";"Puerto Rico";"PR"
"44";"RhodeÂ Island";"RI"
"45";"South Carolina";"SC"
"46";"South Dakota";"SD"
"47";"Tennessee";"TN"
"48";"Texas";"TX"
"49";"Utah";"UT"
"50";"Vermont";"VT"
"51";"Virginia";"VA"
"52";"Virgin Islands";"VI"
"53";"Washington";"WA"
"54";"West Virginia";"WV"
"55";"Wisconsin";"WI"
"56";"Wyoming";"WY"
